TR,SRC,GEO,MD,TVD,SD,PICK1,PICK2,RCX,RCY,TVDSD,SCX,SCY,SCD
54,3,4,4150,4150,10.00000032,0.72805,1.051295448,0,0,4140.000138,-4000,0,0.00013873
55,3,5,4200,4200,10.00000032,0.73335,1.065011804,0,0,4190.000138,-4000,0,0.00013873
56,3,6,4250,4250,10.00000032,0.7387,1.078775094,0,0,4240.000138,-4000,0,0.00013873
57,3,7,4300,4300,10.00000032,0.7441,1.092586263,0,0,4290.000138,-4000,0,0.00013873
58,3,8,4350,4350,10.00000032,0.74945,1.106299182,0,0,4340.000138,-4000,0,0.00013873
59,3,9,4400,4400,10.00000032,0.75485,1.120060299,0,0,4390.000138,-4000,0,0.00013873
60,3,10,4450,4450,10.00000032,0.76025,1.133796271,0,0,4440.000138,-4000,0,0.00013873
61,3,11,4500,4500,10.00000032,0.7657,1.147581593,0,0,4490.000138,-4000,0,0.00013873
62,3,12,4550,4550,10.00000032,0.77115,1.161342182,0,0,4540.000138,-4000,0,0.00013873
63,3,13,4600,4600,10.00000032,0.7766,1.1750779,0,0,4590.000138,-4000,0,0.00013873
64,3,14,4650,4650,10.00000032,0.7821,1.188864373,0,0,4640.000138,-4000,0,0.00013873
65,3,15,4700,4700,10.00000032,0.7876,1.202626461,0,0,4690.000138,-4000,0,0.00013873
66,3,16,4750,4750,10.00000032,0.7931,1.216364078,0,0,4740.000138,-4000,0,0.00013873
67,3,17,4800,4800,10.00000032,0.79865,1.230153915,0,0,4790.000138,-4000,0,0.00013873
68,3,18,4850,4850,10.00000032,0.80415,1.243842742,0,0,4840.000138,-4000,0,0.00013873
69,3,19,4900,4900,10.00000032,0.8097,1.257584361,0,0,4890.000138,-4000,0,0.00013873
70,3,20,4950,4950,10.00000032,0.8153,1.27137971,0,0,4940.000138,-4000,0,0.00013873
71,3,21,5000,5000,10.00000032,0.82085,1.285073655,0,0,4990.000138,-4000,0,0.00013873
72,3,22,5050,5050,10.00000032,0.82645,1.298821939,0,0,5040.000138,-4000,0,0.00013873
73,3,23,5100,5100,10.00000032,0.83205,1.312546854,0,0,5090.000138,-4000,0,0.00013873
74,3,24,5150,5150,10.00000032,0.8377,1.326327343,0,0,5140.000138,-4000,0,0.00013873
75,3,25,5200,5200,10.00000032,0.8433,1.340005892,0,0,5190.000138,-4000,0,0.00013873
76,4,1,4000,4000,10.00000032,0.67615,1.02072756,0,0,3990.000138,-3500,0,0.00013873
77,4,2,4050,4050,10.00000032,0.68165,1.034522926,0,0,4040.000138,-3500,0,0.00013873
78,4,3,4100,4100,10.00000032,0.6871,1.048214583,0,0,4090.000138,-3500,0,0.00013873
79,4,4,4150,4150,10.00000032,0.69265,1.062030339,0,0,4140.000138,-3500,0,0.00013873
80,4,5,4200,4200,10.00000032,0.69815,1.075742166,0,0,4190.000138,-3500,0,0.00013873
81,4,6,4250,4250,10.00000032,0.7037,1.0895031,0,0,4240.000138,-3500,0,0.00013873
82,4,7,4300,4300,10.00000032,0.70925,1.103236719,0,0,4290.000138,-3500,0,0.00013873
83,4,8,4350,4350,10.00000032,0.7148,1.116942993,0,0,4340.000138,-3500,0,0.00013873
84,4,9,4400,4400,10.00000032,0.7204,1.13070011,0,0,4390.000138,-3500,0,0.00013873
85,4,10,4450,4450,10.00000032,0.726,1.144430587,0,0,4440.000138,-3500,0,0.00013873
86,4,11,4500,4500,10.00000032,0.7316,1.158134444,0,0,4490.000138,-3500,0,0.00013873
87,4,12,4550,4550,10.00000032,0.73725,1.171890924,0,0,4540.000138,-3500,0,0.00013873
88,4,13,4600,4600,10.00000032,0.7429,1.185621535,0,0,4590.000138,-3500,0,0.00013873
89,4,14,4650,4650,10.00000032,0.74855,1.19932634,0,0,4640.000138,-3500,0,0.00013873
90,4,15,4700,4700,10.00000032,0.7542,1.21300542,0,0,4690.000138,-3500,0,0.00013873
91,4,16,4750,4750,10.00000032,0.7599,1.226739315,0,0,4740.000138,-3500,0,0.00013873
92,4,17,4800,4800,10.00000032,0.7656,1.240448286,0,0,4790.000138,-3500,0,0.00013873
93,4,18,4850,4850,10.00000032,0.7713,1.25413244,0,0,4840.000138,-3500,0,0.00013873
94,4,19,4900,4900,10.00000032,0.77705,1.267873215,0,0,4890.000138,-3500,0,0.00013873
95,4,20,4950,4950,10.00000032,0.7828,1.281589986,0,0,4940.000138,-3500,0,0.00013873
96,4,21,5000,5000,10.00000032,0.78855,1.295282881,0,0,4990.000138,-3500,0,0.00013873
97,4,22,5050,5050,10.00000032,0.7943,1.308952039,0,0,5040.000138,-3500,0,0.00013873
98,4,23,5100,5100,10.00000032,0.80005,1.32259761,0,0,5090.000138,-3500,0,0.00013873
